id,provider,name,address,geometry,categories,city,country,postcode,mapbox_id
1,Provider 1,Starbucks,137 W Ellendale Ave,"{""coordinates"": [-123.31266147, 44.93074775], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,973381408,dXJuOm1ieHBvaTpkOTZiZDM4MC1hMjg1LTQ2ZTEtYWVhYS1kNmM4ZGQzZDdlYjA
2,Provider 1,Starbucks,8655 Hiram Acworth Hwy,"{""coordinates"": [-84.75483938, 34.00969773], ""type"": ""Point""}",grocery;shopping;supermarket,,US,301576599,dXJuOm1ieHBvaTpjOTc4Y2NhMy0yODE5LTRlNWItODU4ZC02OTQ0MzQyOTAyMTc
3,Provider 1,Costco Pharmacy,1715 Charles Hardy Pkwy,"{""coordinates"": [-84.76380003, 33.92055333], ""type"": ""Point""}",health_services;pharmacy;services,,US,30157,dXJuOm1ieHBvaTpjYzFmNjljNy0zMTQ1LTRlOTAtOTlhNy1hODM0YmY1M2UzNTQ
4,Provider 1,Walgreens Photo,303 Charlie Watts Dr,"{""coordinates"": [-84.8237871, 33.90817476], ""type"": ""Point""}",photo_store;photographer;services;shopping,,US,30157,dXJuOm1ieHBvaTozZDU0YjBiNy1kYjlmLTQ4N2YtODc1Zi1jMmI3Y2RlNzEyMDg
5,Provider 1,McDonald's,3036 Villa Rica Hwy,"{""coordinates"": [-84.84245562, 33.8677287], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,30132,dXJuOm1ieHBvaToxM2Q2Y2E4OC1jNDA2LTQ4NTItYWJiOS0xNDQxOWE3ZDY5NjM
6,Provider 1,McDonald's,1808 S Beltline Rd,"{""coordinates"": [-96.60095653, 32.67676233], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75253,dXJuOm1ieHBvaTo5YjIyMDk3Ny02OTQwLTRiYWItYTdlMC1jMmQ0Yjk2MDU0MGI
7,Provider 1,Starbucks,10305 Ferguson Road,"{""coordinates"": [-96.67351976, 32.83520441], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752283014,dXJuOm1ieHBvaTo3ZWE4MTJmNC0yM2E0LTQ1N2MtOWRlNy00Y2M3MWIxYmJhOTE
8,Provider 1,McDonald's,8055 S Loop 12,"{""coordinates"": [-96.68482078, 32.71300254], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75217,dXJuOm1ieHBvaTpjZGVhOGM2Zi1hNzZjLTQ5YjQtODJkMi02ZDk2NDkxZDMzNDY
9,Provider 1,McDonald's,2407 S Hampton Rd,"{""coordinates"": [-96.68496482, 32.84827516], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75233,dXJuOm1ieHBvaTpiOTVlNWQ5ZC03ZmJkLTRhODgtODEwOC1iZTY3ZDhmMmNkYjM
10,Provider 1,McDonald's,11217 Garland Rd,"{""coordinates"": [-96.68496482, 32.84827516], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75218,dXJuOm1ieHBvaTpkOWMxMGIzNS1lNzY4LTQ3MTgtOTQ1Mi1jMjA3NzcxMGFlYjY
11,Provider 1,McDonald's,7401 Samuell Blvd Walmart,"{""coordinates"": [-96.68918616, 32.79411801], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75228,dXJuOm1ieHBvaTo1ODc5NmM5OS0zZGU2LTRiNDMtODg2OS0yMDVjODhiNjI1NWI
12,Provider 1,Walmart Garden Center,7401 Samuell Blvd,"{""coordinates"": [-96.68956993, 32.79411382], ""type"": ""Point""}",garden_store;shopping,,US,75228,dXJuOm1ieHBvaTo0Nzg3MGU5Ni04MWFjLTQ3YmUtODZmMS02MTQxNmExMDhkOWE
13,Provider 1,McDonald's,8117 E R L Thornton Fwy,"{""coordinates"": [-96.70101619, 32.79492273], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75228,dXJuOm1ieHBvaTplNDU1YWU2NC02MmViLTQxMjgtYTQ0ZC1jNmZkOTU3YzliYzg
14,Provider 1,McDonald's,9403 Garland Rd,"{""coordinates"": [-96.70366792, 32.83320078], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75218,dXJuOm1ieHBvaToyNDJmYzIxNS03NDhjLTRkOTAtOWEwYS1hZmZjMzc2ZjYyOWU
15,Provider 1,Big Thicket,430 Thicket Cir,"{""coordinates"": [-96.71655049, 32.8464053], ""type"": ""Point""}",restaurant,,US,75218,dXJuOm1ieHBvaTplODM0ZjNlOS1iNzIyLTQxMzQtYTJhMi0zMDU2NmM0ZTg3ZmE
16,Provider 1,Starbucks,8698 Skillman St,"{""coordinates"": [-96.72069461, 32.89627894], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752438265,dXJuOm1ieHBvaToyNjA5YjhlYy1lYTQwLTQxNWItYjdkYi03NmY5MGIwNmMzMWM
17,Provider 1,McDonald's,8606 Skillman St,"{""coordinates"": [-96.72206658, 32.8957237], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75243,dXJuOm1ieHBvaTo2NjBhZmMwOC1jNzVjLTRhOTQtODFlYi00Yzc4OGYxZDgyODA
18,Provider 1,Starbucks,7325 Gaston Ave,"{""coordinates"": [-96.7303422, 32.81187213], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752144131,dXJuOm1ieHBvaTo5ZjMyMWJlNC0zOWYzLTRhYWUtODBkNi1lZGYyODQ2ZTU5Y2Q
19,Provider 1,Starbucks Coffee,7190 Skillman Road,"{""coordinates"": [-96.7345605, 32.87746054], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752315743,dXJuOm1ieHBvaToxMDFjMmZmNC0zNjQ3LTQ1NzYtOWFmOS0xY2ZkYmQwNTUxMTU
20,Provider 1,McDonald's,11820 Abrams Rd,"{""coordinates"": [-96.73496236, 32.91006421], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75243,dXJuOm1ieHBvaToyZmFiMDlkYy1mZjM0LTRlNmUtYWI4Ny1kZjk5MjM1NTVlOTE
21,Provider 1,McDonald's,9301 Forest Ln,"{""coordinates"": [-96.73872375, 32.91055519], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75243,dXJuOm1ieHBvaTpjZTU1YWMwNi0yMDczLTRmNWItODQxNS1mODllMWIwOWJlZTM
22,Provider 1,Walgreens Pharmacy,6505 Abrams Rd,"{""coordinates"": [-96.74498795, 32.8631406], ""type"": ""Point""}",health_services;pharmacy;services,,US,75231,dXJuOm1ieHBvaTpiYjI0NTE1Mi0yMzEzLTRkZjctYWRlMy1jZDEwY2RmOWU1ZTU
23,Provider 1,McDonald's,5934 Abrams Rd,"{""coordinates"": [-96.7482644, 32.85741649], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75231,dXJuOm1ieHBvaTo0YTZhNzMzZC02YjQyLTRlZDAtOWRjNy0xYzRiM2FjNWY1YTQ
24,Provider 1,Starbucks,1924 Abrams Pkwy,"{""coordinates"": [-96.75251746, 32.81355141], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,75214,dXJuOm1ieHBvaTowMWJjNThlZS00YTgwLTRjMDctYmZmNC0yNDBhNWVmOGE4OGY
25,Provider 1,Walmart Garden Center,6185 Retail Rd,"{""coordinates"": [-96.75442649, 32.86231131], ""type"": ""Point""}",garden_store;shopping,,US,75231,dXJuOm1ieHBvaTo5MDAwMDk5NC04ZGU2LTQ5YzEtODZiMS02ODRjNTdlYmQ3NDU
26,Provider 1,Starbucks,6333 East Mockingbird,"{""coordinates"": [-96.75453731, 32.83690429], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752142384,dXJuOm1ieHBvaTo1ZDM2Y2JlOC00NGE4LTRlOWYtOWRkMy01YWE5M2MyNTE4NDI
27,Provider 1,Mot Hai Ba,6047 Lewis St,"{""coordinates"": [-96.76228713, 32.81224339], ""type"": ""Point""}",asian_restaurant;food;food_and_drink;restaurant,,US,75206,dXJuOm1ieHBvaTo5NTc4OTA1NS1iNDllLTQwMjMtYmFlMi1kNzFlOTU1ZmU4NzA
28,Provider 1,Walgreens,1461 Robert B Cullum Blvd,"{""coordinates"": [-96.76286175, 32.77502908], ""type"": ""Point""}",health_services;pharmacy;services,,US,75210,dXJuOm1ieHBvaToyZjI4OTg4NS03MWE3LTQ3MjctODUxMi1mYjUxYjgyOTQxYWY
29,Provider 1,McDonald's,6950 Greenville Ave,"{""coordinates"": [-96.76299964, 32.872749], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75231,dXJuOm1ieHBvaTo0NzYzNjFiNi0zMDdmLTQzOWEtYWIxNy01Y2NkMDdiOTE3MjM
30,Provider 1,Starbucks,5905 E. Northwest Highway,"{""coordinates"": [-96.76352259, 32.86598223], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752317416,dXJuOm1ieHBvaTo0ZTQ5MGQzOS01NzVjLTRiYTktODJkNy1jMGRmZGQ1OWY4MWM
31,Provider 1,McDonald's,3310 Al Lipscomb Way,"{""coordinates"": [-96.7651476, 32.77677342], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75210,dXJuOm1ieHBvaTpiOWY1OTY0Ni04ZTgwLTRmNGYtODQyZS0wNzIxOGRiZjgzNDk
32,Provider 1,Starbucks,6123 Greenville Ave,"{""coordinates"": [-96.76826125, 32.86051047], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752061910,dXJuOm1ieHBvaTpjNmUzYzE2OS05ZDMwLTRmYzgtODVjNy05N2ZmZWRiODA1MTE
33,Provider 1,McDonald's Inc.,11102 N Central Expy,"{""coordinates"": [-96.76839485, 32.89929147], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75243,dXJuOm1ieHBvaTo0ZWM1ZWI5MS02YjAxLTRkZDUtOTQ0Yi00MTE0MWVkMmI4YTg
34,Provider 1,Walgreens,5742 E Mockingbird Ln,"{""coordinates"": [-96.76855417, 32.83606268], ""type"": ""Point""}",health_services;pharmacy;services,,US,75206,dXJuOm1ieHBvaTplYTE1MGExMS1kMDI1LTQ1ZmMtYjA1Ni01MWVkOTNkNzE0MzA
35,Provider 1,McDonald's,13040 Coit Rd,"{""coordinates"": [-96.76867961, 32.92574561], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75240,dXJuOm1ieHBvaToxMWZkYWFhMy02NDc1LTQwYTAtYjcxMy04M2Y2NzY3NmU1N2M
36,Provider 1,Starbucks,1827 Greenville Ave,"{""coordinates"": [-96.77061024, 32.81314597], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752067436,dXJuOm1ieHBvaTo1ODYyMDMxOS01MmNjLTQ2NzQtYjM0MS03ZjQ1ODg2NDE2ZWU
37,Provider 1,Starbucks,7804 Forest Ln,"{""coordinates"": [-96.77172191, 32.90887487], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752302424,dXJuOm1ieHBvaToxNmFkZDliMS0xM2E1LTRiNmQtYjJjMi04ZjFiNjk0NDAzYzc
38,Provider 1,Walgreens,5001 Ross Ave,"{""coordinates"": [-96.77524261, 32.80762229], ""type"": ""Point""}",health_services;pharmacy;services,,US,75206,dXJuOm1ieHBvaTplMTkxNWM5NS0wYmE2LTQwNGEtYjk0MC05MGRiMjlhN2VjZTA
39,Provider 1,Starbucks,5331 E. Mockingbird Lane,"{""coordinates"": [-96.77655298, 32.83725923], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752065197,dXJuOm1ieHBvaTozNDdlODAyMi0yZTM2LTRjZTctOWI2Zi1lYjg4NDY4YTFlN2U
40,Provider 1,Starbucks,4025 Gaston Avenue,"{""coordinates"": [-96.77713665, 32.7938288], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752461514,dXJuOm1ieHBvaTo0MWRkMjg3OC0zNzJmLTQwM2ItOGUzNC1lNDVjMGIwZTI4ZjQ
41,Provider 1,21 Flavors Wings,4321 Live Oak St,"{""coordinates"": [-96.7778657, 32.79871521], ""type"": ""Point""}",food;food_and_drink;restaurant,,US,75204,dXJuOm1ieHBvaTo4MGNjZmU3OC1kNjU0LTRkYTAtOTRjOC1hYmI1YjBiY2Y1MGU
42,Provider 1,McDonald's,3802 Gaston Ave,"{""coordinates"": [-96.77868369, 32.79208548], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75246,dXJuOm1ieHBvaToyNjBjNDE4Ny00MThlLTQwMDgtYjMwOC1hMGExZDRhZGZlNWY
43,Provider 1,Starbucks,Hillcrest & Mockingbird,"{""coordinates"": [-96.78375404, 32.84425963], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,75205,dXJuOm1ieHBvaTpjZDcyYzZmOS0xYjI3LTRhZTItYmI5Ni1mYWE4YjMzNWIxYTI
44,Provider 1,Starbucks,6733 Hillcrest Avenue,"{""coordinates"": [-96.78707145, 32.84840126], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752051304,dXJuOm1ieHBvaToxYTJlOTg3YS01MTMzLTQ2MWQtOTRhZi0zOThjZjk0MzYzNmM
45,Provider 1,Starbucks,4241 Capitol Ave,"{""coordinates"": [-96.78912249, 32.80635749], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,75204,dXJuOm1ieHBvaTo4MDNkODQyMS04OWFkLTQyY2UtODQwMC1lYzk1Y2YxYzZjMDM
46,Provider 1,Walgreens Photo,6707 W Northwest Hwy,"{""coordinates"": [-96.78932714, 32.8661765], ""type"": ""Point""}",photo_store;photographer;services;shopping,,US,75225,dXJuOm1ieHBvaTpjNzVjOWVlYy1hN2EwLTRjZTUtYmYyZi04OGVkNDU0ZjgwM2E
47,Provider 1,Starbucks,6859 Arapaho,"{""coordinates"": [-96.79028127, 32.96256877], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752484062,dXJuOm1ieHBvaTo4NzYxMzNlYi03MjQ4LTQ0ZDQtYTRkYS0wZTEwMDk2OTVkZjY
48,Provider 1,Le Bilboquet,4514 Travis St UNIT 124,"{""coordinates"": [-96.79099377, 32.82219134], ""type"": ""Point""}",food;food_and_drink;french_restaurant;restaurant,,US,75205,dXJuOm1ieHBvaTpjN2E5NTQ2ZC1jNjBkLTQ0MDEtYTgyOS1hOWVmOGRjNTFmZDc
49,Provider 1,Target Mobile,2417 S Haskell Ave.,"{""coordinates"": [-96.7914907, 32.80387821], ""type"": ""Point""}",phone_store;shopping,,US,75204,dXJuOm1ieHBvaTo2Y2U4ZjFlMC1jYzFhLTQxZjMtYmMzNC01YzczMDE3YTFlMjA
50,Provider 1,Starbucks,2200 Ross Ave,"{""coordinates"": [-96.79641983, 32.7879214], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752012708,dXJuOm1ieHBvaTo3ZmU3NDlhYy1lZTU5LTQwOTAtYjZmZi01ODI4ZmIxM2ZjZjI
51,Provider 1,Starbucks,1700 COMMERCE STREET,"{""coordinates"": [-96.79673437, 32.7802612], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,75201,dXJuOm1ieHBvaToyM2MwNjRhYi00YzNlLTQ3YjktOGZlMC1iMmUxYmM5MDhlNmI
52,Provider 1,Starbucks,2801 Allen St.,"{""coordinates"": [-96.80107173, 32.80041506], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752041031,dXJuOm1ieHBvaTpmZmMzNGI3YS1mYjdkLTQ4MGUtYTRmNS05YzlhZDIzNzI4MzQ
53,Provider 1,Starbucks,1717 N. Akard,"{""coordinates"": [-96.80139079, 32.78529827], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752012301,dXJuOm1ieHBvaTplMDQyM2Q5MS1hYTBmLTQzNjgtOTYyYi1kMjNjYzg4MjNkYzg
54,Provider 1,Starbucks,7300 UNIVERSITY HILLS BLVD.,"{""coordinates"": [-96.80268133, 32.6593765], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,75241,dXJuOm1ieHBvaToyYzFjYjJiYS1kMjFhLTQ3YTAtOTVjNy1hY2VjZjQwOGZkYmI
55,Provider 1,McDonald's,1000 Commerce St,"{""coordinates"": [-96.80298401, 32.77877574], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75202,dXJuOm1ieHBvaToyMzdhYTgxNi00YWZmLTRlMGUtOTFmNS02MGI3ZDczZDI5NDg
56,Provider 1,McDonald's,14770 Preston Rd,"{""coordinates"": [-96.80299113, 32.94950092], ""type"": ""Point""}",fast_food;food;food_and_drink,,US,75240,dXJuOm1ieHBvaToxYzY4ZGRhNS00MTMyLTRmN2MtYjgxMS1hNWYxZTRjMjg4YTU
57,Provider 1,Starbucks,13556 Preston Rd,"{""coordinates"": [-96.80324778, 32.93268834], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752405212,dXJuOm1ieHBvaTozMTk1ZjNhMS1jOWVlLTQwZGYtOTQxYi1mMTEwYjQ0NGExMjQ
58,Provider 1,Starbucks,400 Crescent Court,"{""coordinates"": [-96.80365197, 32.79434073], ""type"": ""Point""}",cafe;coffee;coffee_shop;food;food_and_drink,,US,752011838,dXJuOm1ieHBvaTpkMDExYmI5Yy0wNDE0LTRhOTAtOTFhMy0xYTcyMjM5OGViM2E
