id,provider,name,address,geometry,categories,city,country,postcode,mapbox_id
n4,Provider 2,McDonald's,4223 West Illinois Avenue,"{""coordinates"": [-96.88941955566406, 32.72092819213867], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75211,dXJuOm1ieHBvaTpjYWY4M2FlNC0zNTQwLTQ2OTMtYWYyNi00NjA5YTNhNDY0ZWY
o1,Provider 2,Starbucks,4241 Capitol Avenue,"{""coordinates"": [-96.78888702392578, 32.80656051635742], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75204,dXJuOm1ieHBvaTo4MDNkODQyMS04OWFkLTQyY2UtODQwMC1lYzk1Y2YxYzZjMDM
o2,Provider 2,Walgreens;Walgreens Pharmacy,6707 West Northwest Highway,"{""coordinates"": [-96.7889633178711, 32.86613082885742], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,75225,dXJuOm1ieHBvaTpjNzVjOWVlYy1hN2EwLTRjZTUtYmYyZi04OGVkNDU0ZjgwM2E
o3,Provider 2,Starbucks,6859 Arapaho Road,"{""coordinates"": [-96.79006958007812, 32.96279525756836], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75248,dXJuOm1ieHBvaTo4NzYxMzNlYi03MjQ4LTQ0ZDQtYTRkYS0wZTEwMDk2OTVkZjY
o4,Provider 2,Kababjee of Texas,11276 Harry Hines Boulevard,"{""coordinates"": [-96.88953399658203, 32.89253616333008], ""type"": ""Point""}",food;food_and_drink;middle_eastern_restaurant;restaurant,,US,75229,dXJuOm1ieHBvaTo2MjZjMzJmOC04MDE3LTQ1NDItYjVlYS0yODJjZWI3OTcxNTY
p1,Provider 2,"Café Bilboquet;Café Bilboquet, Dallas",4514 Travis Street,"{""coordinates"": [-96.79056549072266, 32.822349548339844], ""type"": ""Point""}",cafe;food;food_and_drink,,US,75205,dXJuOm1ieHBvaTpjN2E5NTQ2ZC1jNjBkLTQ0MDEtYTgyOS1hOWVmOGRjNTFmZDc
p2,Provider 2,Target,2417 North Haskell Avenue,"{""coordinates"": [-96.79150390625, 32.80378341674805], ""type"": ""Point""}",department_store;shopping,Dallas,US,75204,dXJuOm1ieHBvaTo2Y2U4ZjFlMC1jYzFhLTQxZjMtYmMzNC01YzczMDE3YTFlMjA
p3,Provider 2,Starbucks,2200 Ross Avenue,"{""coordinates"": [-96.79664611816406, 32.78792953491211], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75201,dXJuOm1ieHBvaTo3ZmU3NDlhYy1lZTU5LTQwOTAtYjZmZi01ODI4ZmIxM2ZjZjI
p4,Provider 2,Walgreens;Walgreens Pharmacy,8120 South Cockrell Hill Road,"{""coordinates"": [-96.89083099365234, 32.6480598449707], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,75236,dXJuOm1ieHBvaTpjMGVkYTViOS1lZWRjLTQ1OGUtYjAxMi1jY2ZlODkxN2U5NzE
q1,Provider 2,Starbucks,208 South Akard Street,"{""coordinates"": [-96.7987060546875, 32.77949523925781], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75202,dXJuOm1ieHBvaToyM2MwNjRhYi00YzNlLTQ3YjktOGZlMC1iMmUxYmM5MDhlNmI
q2,Provider 2,Starbucks,500 North Akard Street,"{""coordinates"": [-96.80018615722656, 32.784400939941406], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75201,dXJuOm1ieHBvaTplMDQyM2Q5MS1hYTBmLTQzNjgtOTYyYi1kMjNjYzg4MjNkYzg
q3,Provider 2,Starbucks,2801 Allen Street,"{""coordinates"": [-96.80121612548828, 32.8004264831543], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75204,dXJuOm1ieHBvaTpmZmMzNGI3YS1mYjdkLTQ4MGUtYTRmNS05YzlhZDIzNzI4MzQ
q4,Provider 2,Starbucks,2285 West Northwest Highway,"{""coordinates"": [-96.8913803100586, 32.862144470214844], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75220,dXJuOm1ieHBvaTplZTEyZjE1My1mYmY5LTQxZDYtYmY3Mi1jNWY4ZjE3NGM2ZjI
r1,Provider 2,McDonald's,14770 Preston Road,"{""coordinates"": [-96.80294036865234, 32.9494743347168], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75240,dXJuOm1ieHBvaToxYzY4ZGRhNS00MTMyLTRmN2MtYjgxMS1hNWYxZTRjMjg4YTU
r2,Provider 2,McDonald's,1000 Commerce Street,"{""coordinates"": [-96.8030776977539, 32.77867126464844], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75202,dXJuOm1ieHBvaToyMzdhYTgxNi00YWZmLTRlMGUtOTFmNS02MGI3ZDczZDI5NDg
r3,Provider 2,Starbucks,13556 Preston Road,"{""coordinates"": [-96.8031997680664, 32.93260955810547], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75240,dXJuOm1ieHBvaTozMTk1ZjNhMS1jOWVlLTQwZGYtOTQxYi1mMTEwYjQ0NGExMjQ
r4,Provider 2,Starbucks,1601 North Cockrell Hill Road,"{""coordinates"": [-96.89614868164062, 32.76487731933594], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75211,dXJuOm1ieHBvaTphY2Y4OTYyYS03YmI3LTQ5M2ItYjkwYy01YjIxYThhZDExMzI
s1,Provider 2,Starbucks,7300 University Hills Boulevard,"{""coordinates"": [-96.80340576171875, 32.65885543823242], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75241,dXJuOm1ieHBvaToyYzFjYjJiYS1kMjFhLTQ3YTAtOTVjNy1hY2VjZjQwOGZkYmI
s2,Provider 2,Starbucks,400 Crescent Court,"{""coordinates"": [-96.80422973632812, 32.794193267822266], ""type"": ""Point""}",department_store;shopping,Dallas,US,75201,dXJuOm1ieHBvaTpkMDExYmI5Yy0wNDE0LTRhOTAtOTFhMy0xYTcyMjM5OGViM2E
s3,Provider 2,Starbucks,11919 Preston Road,"{""coordinates"": [-96.80436706542969, 32.911434173583984], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75230,dXJuOm1ieHBvaTphNDg2NWY2NC1mM2Q1LTRmNTQtOTYzMy1mNjc1ZTU3OWEzNTc
s4,Provider 2,McDonald's,2475 Royal Lane,"{""coordinates"": [-96.89630126953125, 32.89665985107422], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75229,dXJuOm1ieHBvaTozZGQzYTNlNC01Mjk3LTQzODUtOWQ2OC00MDQwMDcwNzRjZDU
t1,Provider 2,Starbucks,100 Highland Park Village,"{""coordinates"": [-96.80484771728516, 32.83598709106445], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75205,dXJuOm1ieHBvaTpjMWZhMjkxNS04MDMwLTQyZmEtYTYzMS1mZDEyMjI5MTc5MGI
t2,Provider 2,Starbucks,8335 Westchester Drive,"{""coordinates"": [-96.80694580078125, 32.8640251159668], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75218,dXJuOm1ieHBvaTpiNjdhNWIyMy0xNjJmLTRjNzQtOGVkNS1lMWQ1OGRiMDVkOWM
t3,Provider 2,Walgreens;Walgreens Pharmacy,3826 Cedar Springs Road,"{""coordinates"": [-96.80863952636719, 32.809898376464844], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,75219,dXJuOm1ieHBvaTo2OGM3ZGM0ZC0yNWM3LTRmYTAtODhiOS1mM2JjMzY3MDQ1ZWI
t4,Provider 2,McDonald's,4330 Dallas Fort Worth Turnpike,"{""coordinates"": [-96.89690399169922, 32.76523971557617], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75211,dXJuOm1ieHBvaTowNGExNThiOS1kMzI3LTQxNDAtODk1Ny05NTZiMjFkYTQ5OTg
u1,Provider 2,Starbucks,4023 Lemmon Avenue,"{""coordinates"": [-96.80864715576172, 32.81405258178711], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75219,dXJuOm1ieHBvaTplODA0ZjI5MC1jNzc1LTRlNTktYWYzNy0wYjE5MjNkN2Y2Zjg
u2,Provider 2,Starbucks,2401 Victory Park Lane,"{""coordinates"": [-96.81011199951172, 32.78853988647461], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75219,dXJuOm1ieHBvaTpjNzQ0NTc2NC1hNjFkLTQxZTgtOTRhOS1hYzU4OTQxMGM5MDU
u3,Provider 2,Starbucks,2800 Oak Lawn Avenue,"{""coordinates"": [-96.81065368652344, 32.80686569213867], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75219,dXJuOm1ieHBvaTpkY2IyMGQwNy1mNGI4LTQwNzItOGE3My1kNzc2ODNjYzBjNWE
u4,Provider 2,McDonald's,2197 West Northwest Highway,"{""coordinates"": [-96.9013671875, 32.86540603637695], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75225,dXJuOm1ieHBvaTozNjQ2YjY3ZC1jNDcxLTRhYzctOWY1Yi0xYjdlN2QxYzY0ZGU
v1,Provider 2,Target,13131 Montfort Drive,"{""coordinates"": [-96.81355285644531, 32.9281120300293], ""type"": ""Point""}",department_store;shopping,Dallas,US,75240,dXJuOm1ieHBvaTpjMmQ3MzEwOS05ZDA0LTQ2MTAtOGQzMy1iOTAwMDE1OTU1MDk
v2,Provider 2,McDonald's,650 North Riverfront Boulevard,"{""coordinates"": [-96.81429290771484, 32.782901763916016], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75207,dXJuOm1ieHBvaTo0ZjM5NzdhOC03NmM2LTRjMWEtOGE1Zi05NDBlODU4Mzg4ZTA
v3,Provider 2,Starbucks,12262 Inwood Road,"{""coordinates"": [-96.8180160522461, 32.91519546508789], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75244,dXJuOm1ieHBvaTpiZDFiNDkyMS03YTU0LTQ4ODMtODM1MS1kNDk1YTZlMDE5MjY
v4,Provider 2,Joak BBQ,2254 Royal Lane,"{""coordinates"": [-96.9024658203125, 32.89514923095703], ""type"": ""Point""}",food;food_and_drink;korean_restaurant;restaurant,,US,75229,dXJuOm1ieHBvaTo2NjdlZTkyNC05MjVlLTQ2NGItOGYxMi02OWIxZWJlYzU0Njc
w1,Provider 2,Starbucks,13350 Dallas Parkway,"{""coordinates"": [-96.81965637207031, 32.92943572998047], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75240,dXJuOm1ieHBvaTo0MzgzNTc5ZC04ZjdjLTQ3OWEtYjI5Yi1iMzk1NGM1YTM3YmM
w2,Provider 2,"Torteria Insurgentes;Torteria Insurgentes, Jefferson Blvd",201 West Jefferson Boulevard,"{""coordinates"": [-96.82483673095703, 32.74344253540039], ""type"": ""Point""}",food;food_and_drink;mexican_restaurant;restaurant,,US,75208,dXJuOm1ieHBvaTo5YTlmMzQ3Yy1jMDM5LTRjNmYtOTc5Ny1iOTgxMzNiYzA2MGQ
w3,Provider 2,Starbucks,2050 North Stemmons Freeway,"{""coordinates"": [-96.82630920410156, 32.803199768066406], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75207,dXJuOm1ieHBvaTphOTAxNGUzNy0zOWQ3LTQ3MGItYTBlOC04MDVmZjkzZjAxOTE
x1,Provider 2,Oreste's New York Pizza & Bocce,3011 Gulden Lane,"{""coordinates"": [-96.82865142822266, 32.779327392578125], ""type"": ""Point""}",food;food_and_drink;italian_restaurant;restaurant,,US,75212,dXJuOm1ieHBvaTplYzM4MDNjOC00ZDUxLTQ2OTUtYmNiZS0wYTAyZjAyMjRmM2Y
x2,Provider 2,McDonald's,705 West Jefferson Boulevard,"{""coordinates"": [-96.83429718017578, 32.74348449707031], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75208,dXJuOm1ieHBvaTphNTg2OGEwMi0yNzg5LTQ3NmEtYjc5MC0yMTU5NzZhOTM2MWU
x3,Provider 2,Starbucks,1935 Medical District Drive,"{""coordinates"": [-96.8371353149414, 32.80925750732422], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75235,dXJuOm1ieHBvaTplNDQ4NjM3Yi1jYTYwLTRlNmMtODQwOS0yZGY1YjY4YWNlNGM
y1,Provider 2,"China Kitchen;China Kitchen, Dallas",3939 South Polk Street,"{""coordinates"": [-96.83910369873047, 32.696651458740234], ""type"": ""Point""}",chinese_restaurant;food;food_and_drink;restaurant,,US,75224,dXJuOm1ieHBvaTpiY2RkOTJhNy05ZjQ1LTQ5MjEtYjU1OC04NDVmZTNkYjMwM2Y
y2,Provider 2,Walgreens;Walgreens Pharmacy,1060 West Camp Wisdom Road,"{""coordinates"": [-96.83929443359375, 32.661781311035156], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,75232,dXJuOm1ieHBvaTpmY2M5MmJiMS0yYjVhLTQ0NjktODE2NC1kYmU4ODgzYWZiNTA
y3,Provider 2,"RideShare Parking;RideShare;P RideShare;RideShare Parking, Dallas Love Field Airport (DAL)",8008 Herb Kelleher Way,"{""coordinates"": [-96.83935546875, 32.8333854675293], ""type"": ""Point""}",parking_lot,Dallas,US,75235,dXJuOm1ieHBvaTo1NjRlOTg1NS0yOTk5LTQyNTEtYjY3MC1kYmNkZTYxN2MzY2Y
z1,Provider 2,Walmart Supercenter,4122 L B J Fwy,"{""coordinates"": [-96.8404312133789, 32.92185974121094], ""type"": ""Point""}",,Dallas,US,75244,dXJuOm1ieHBvaTo1YTg2NzBlOS1mNjgxLTQ2ZDItOGU0Yi02NGMxOWJhYWQzYTc
z2,Provider 2,McDonald's,17606 Midway Road,"{""coordinates"": [-96.8416519165039, 32.987918853759766], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75287,dXJuOm1ieHBvaTo3YjkyMGU4MS1hZjUxLTRlNzUtODhhNS00OWU1NzZjODNkOTI
z3,Provider 2,Tu Pastelito,18110 Midway Road,"{""coordinates"": [-96.84259796142578, 32.99655532836914], ""type"": ""Point""}",food;food_and_drink;latin_american_restaurant;restaurant,,US,75287,dXJuOm1ieHBvaTo3MDM4ZDgwMS1kYjFkLTQ4NzktYmU5ZC04NmY1NTI3MmZjM2I
